"","","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
"1",1,-0.15563581715812,1.0038829908164,0.316035747534102,1.44937457717593,1.18843850301136,-0.212480069063384,-0.0754802237971383,0.743952997745661,1.28936565427351,1.40023406279411,0.0714927696975446,1.10527822278756,-2.06853300363039,-0.464237365309967,-0.814122992851139,2.60757629208965,0.011992635762276,-0.360849776285961,-0.389230018807669,0.507149209331273,-0.0996604596303464,1.47340703450065,0.280298695722339,0.399683023889106,-0.189831189149576
"2",2,1.54184570468952,-0.968573332146713,1.66659880275749,-0.00749178677768544,0.84188952233202,-0.329479387969621,-1.04293953468918,-1.69111061611227,0.806078471581108,1.08205661656458,-0.704403692896827,-1.02546926665278,0.0230455976498229,-0.208820563681634,-0.324650030053793,0.648884987718018,0.258682932364206,1.03502084564025,0.173096774377735,1.58500388414213,-0.108483355365771,1.39682024269226,0.470657551502109,0.909889889277156,-0.0573418092274321
"3",3,0.249339493461966,-0.394528289470036,0.721407742630755,-0.69504242167201,-0.469678141274147,0.711952224120049,0.041756570823517,0.29927026140132,0.297347673122144,-1.04461168817883,-0.278884197447521,-0.587459027305642,-0.883681916208357,-0.143276051296526,-1.82955895501401,1.33990744552526,-0.637454868032152,-0.408952616644666,1.61660193154865,0.151888546623376,-0.226350149255868,0.278502255555858,-1.33328955153721,0.609962752083902,-0.300429005912463
"4",4,0.846917909461727,-0.7740085933835,0.440353418531693,-0.00837400495943208,-0.823862880979403,0.121116449001863,0.942466416655329,-0.266184018322815,0.921095600002748,-0.94449922088608,1.26963889347623,-0.590646919140667,-0.287715082818682,-1.16084676076408,-1.35585260172245,-0.372066644023912,0.179055227041848,0.757718373913559,0.47916842797299,0.900424970528108,-0.863649731136878,-0.327208551191421,0.163261720864646,-1.05530513413505,0.276839561239643
"5",5,-0.958537481775014,1.80837757062233,-1.35245103533151,-0.633381173678552,-1.16994356085744,1.19946915502116,0.929426195629681,0.341841178042629,0.079399013558223,-0.764296302040622,-1.52289585765561,-1.17359370614679,-1.02860151586577,0.426203474033286,0.899070244821812,-0.258615869462707,-0.957941155266314,0.962394591161494,0.0860621142637543,0.146556744261166,0.535756244636512,-1.63864348521121,-0.845941725733417,-0.168166176792156,-0.803674027915524
"6",6,-0.320025797299475,-0.627449254208025,-0.343281593624323,1.90664683436353,-0.820815654130671,-1.46144121036326,-0.242015197250985,0.377017583122214,-0.273556158102144,-0.433201270092946,-0.85255160545036,-1.19082565483268,0.455084839273611,0.0538162862723185,-0.489319934633145,0.479202247471032,-0.0461470126642744,0.383998485393148,0.476283719017241,-0.146431571272722,-1.77031366246767,-0.598308396790476,-0.739984137844296,-0.942950944556512,0.587652410675225
"7",7,0.88708096927074,0.99181369370376,-2.06490737231473,1.96607204766239,0.301371283870677,-0.753655437608703,-1.57531984921503,0.114539116189418,-2.74139808937073,-0.0321344854886225,2.17629978670905,0.63600880375733,-1.1060422354895,0.363414404012199,1.28531583271057,-1.92617320362975,-1.85647083846329,-0.0105404299239179,0.669594916317775,0.388098705147669,-0.339914964830921,-0.911098701030491,0.194063373682232,-0.348814900485044,-0.786952480888783
"8",8,0.174865391257368,-2.63247755601307,-0.663090724040175,-1.03531296668189,-1.60489431808599,-0.457175299575978,-2.24872398905635,0.411001359127924,-0.616003391559992,-1.04194435220255,1.39464842270235,-1.39362897284137,-0.261224833052999,-0.308713595794418,-0.433712929717988,-0.639221807442622,-0.137314837581811,1.27153994146109,-0.688101949564632,-0.0996939825492225,0.00208619287904568,-1.636823930802,-1.42288304742501,0.619988809467036,-0.196012091483526
"9",9,0.515008340770007,0.361263001036778,-1.6223794259959,1.01021632555639,0.828065827667297,-0.453263494536015,1.02078655623237,1.1252450747307,-0.201744780854755,0.73860641771394,0.401554558889353,-1.51087721368211,0.166217489809469,-0.561159895463508,0.657864534392901,-2.94882300673352,1.21255268294619,0.684069815132391,0.677147960913656,-1.18282280385197,-0.209052903793311,-0.545749023425037,0.395354582024114,1.11003351617615,-0.958913202510597
"10",10,-0.0893652611840419,-0.272487937807586,-0.307291897848378,0.406548836258855,0.707664581273069,-0.0899451085040912,1.42200208293555,1.27047186258415,0.299669958905603,2.25440713566252,1.01099815172157,-0.159365734192538,0.560217590395927,-1.04514807005435,1.24901343872346,-0.259432245731492,0.702579779856742,0.657739319843294,-0.431515229721927,-0.67715120978257,-0.922442202646141,1.16309135069447,-0.148067613980505,-0.197337797843091,1.690191011887
